ID,PURPOSE,AGE,GENDER,INCOME,GA,AV.TRAIN,AV.SM,AV.CAR,TT.TRAIN,TT.SM,TT.CAR,CO.TRAIN,CO.SM,CO.CAR,CHOICE
1,1,3,0,2,0,1,1,1,1.12,0.63,1.17,0.48,0.52,0.65,SM
1,1,3,0,2,0,1,1,1,1.03,0.6,1.17,0.48,0.49,0.84,SM
1,1,3,0,2,0,1,1,1,1.3,0.67,1.17,0.48,0.58,0.52,SM
1,1,3,0,2,0,1,1,1,1.03,0.63,0.72,0.4,0.52,0.52,SM
1,1,3,0,2,0,1,1,1,1.3,0.63,0.9,0.36,0.42,0.84,SM
1,1,3,0,2,0,1,1,1,1.12,0.6,0.9,0.36,0.49,0.52,SM
1,1,3,0,2,0,1,1,1,1.03,0.67,0.72,0.48,0.58,0.65,SM
1,1,3,0,2,0,1,1,1,1.03,0.67,0.9,0.36,0.43,0.65,TRAIN
1,1,3,0,2,0,1,1,1,1.3,0.6,0.72,0.4,0.46,0.65,SM
2,1,2,0,1,0,1,1,0,1.84,0.76,0,0.62,0.7,0,SM
2,1,2,0,1,0,1,1,0,1.7,0.7,0,0.62,0.66,0,SM
2,1,2,0,1,0,1,1,0,2.13,0.84,0,0.62,0.82,0,SM
2,1,2,0,1,0,1,1,0,1.7,0.76,0,0.52,0.72,0,SM
2,1,2,0,1,0,1,1,0,2.13,0.76,0,0.47,0.53,0,SM
2,1,2,0,1,0,1,1,0,1.84,0.7,0,0.47,0.66,0,SM
2,1,2,0,1,0,1,1,0,1.7,0.84,0,0.62,0.82,0,SM
2,1,2,0,1,0,1,1,0,1.7,0.84,0,0.47,0.57,0,SM
2,1,2,0,1,0,1,1,0,2.13,0.7,0,0.52,0.62,0,SM
3,1,2,1,2,0,1,1,1,0.58,0.29,1.05,0.32,0.35,0.4,SM
3,1,2,1,2,0,1,1,1,0.58,0.25,1.36,0.29,0.38,0.5,SM
3,1,2,1,2,0,1,1,1,0.58,0.27,1.36,0.32,0.4,0.65,SM
3,1,2,1,2,0,1,1,1,0.47,0.25,0.84,0.29,0.38,0.65,SM
3,1,2,1,2,0,1,1,1,0.51,0.25,1.36,0.32,0.36,0.4,SM
3,1,2,1,2,0,1,1,1,0.51,0.25,0.84,0.38,0.42,0.4,SM
3,1,2,1,2,0,1,1,1,0.51,0.27,0.84,0.29,0.32,0.5,SM
3,1,2,1,2,0,1,1,1,0.51,0.27,1.05,0.32,0.4,0.5,SM
3,1,2,1,2,0,1,1,1,0.58,0.27,0.84,0.38,0.42,0.65,SM
4,1,2,1,3,0,1,1,1,1.38,0.65,1.35,0.4,0.45,0.8,SM
4,1,2,1,3,0,1,1,1,1.38,0.61,1.75,0.4,0.52,1.3,SM
4,1,2,1,3,0,1,1,1,1.38,0.58,1.75,0.36,0.49,1,SM
4,1,2,1,3,0,1,1,1,1.05,0.58,1.08,0.36,0.49,1.3,SM
4,1,2,1,3,0,1,1,1,1.16,0.58,1.75,0.4,0.46,0.8,SM
4,1,2,1,3,0,1,1,1,1.16,0.61,1.08,0.36,0.42,1,SM
4,1,2,1,3,0,1,1,1,1.16,0.58,1.08,0.48,0.5,0.8,SM
4,1,2,1,3,0,1,1,1,1.38,0.61,1.08,0.48,0.52,1.3,SM
